Торговый код ценной бумаги;Краткое наименование эмитента ценной бумаги;Категория ценной бумаги (ао - акция обыкновенная, ап - акция привилегированная);"Государственный
регистрационный
номер выпуска
(дополнительного
выпуска)*";Объем выпуска, штук;Рыночная цена (3) на 30.09.2024, руб.;Капитализация, руб.;;;;
KAZTP;"ПАО ""КуйбышевАзот""";ап;2-01-00067-A;3 696 506;557;2 058 953 842,00;;;;
KBSB;"ПАО ""ТНС энерго Кубань""";ао;1-01-55218-E;17 869 440;470;8 398 636 800,00;;;;
KCHE;"ПАО ""Камчатскэнерго""";ао;1-02-00235-A;58 294 409 860;0,607;35 384 706 785,02;;;;
KCHEP;"ПАО ""Камчатскэнерго""";ап;2-02-00235-A;183 062 052;1,075;196 791 705,90;;;;
KGKC;"ПАО ""КГК""";ао;1-01-55226-E;122 453 406;45,6;5 583 875 313,60;;;;
KGKCP;"ПАО ""КГК""";ап;2-01-55226-E;14 393 052;51;734 045 652,00;;;;
KLSB;"ПАО ""Калужская сбытовая компания""";ао;1-01-65057-D;91 487 347;25,6;2 342 076 083,20;;;;
KLVZ;"ПАО ""АГК""";ао;1-01-05421-G;921 052 700;5,042;4 643 947 713,40;;;;
KMAZ;"ПАО ""КАМАЗ""";ао;1-08-55010-D;707 229 559;130,8;92 505 626 317,20;;;;
KMEZ;"ПАО ""КМЗ""";ао;1-02-05376-A;3 764 600;1328;4 999 388 800,00;;;;
KOGK;"ПАО ""Коршуновский ГОК""";ао;1-01-20992-F;250 126;43800;10 955 518 800,00;;;;
KRKN;"ПАО ""Саратовский НПЗ""";ао;1-01-00248-A;748 012;10650;7 966 327 800,00;;;;
KRKNP;"ПАО ""Саратовский НПЗ""";ап;2-01-00248-A;249 337;9160;2 283 926 920,00;;;;
KRKOP;"ПАО ""ТКЗ ""Красный котельщик""";ап;2-01-30301-E;71 086 000;13,18;936 913 480,00;;;;
KROT;"ПАО ""Красный Октябрь""";ао;1-02-00060-A;9 217 583;2055;18 942 133 065,00;;;;
KROTP;"ПАО ""Красный Октябрь""";ап;2-01-00060-A;1 474 549;629;927 491 321,00;;;;
KRSB;"ПАО ""Красноярскэнергосбыт""";ао;1-01-55147-E;596 039 612;14,02;8 356 475 360,24;;;;
KRSBP;"ПАО ""Красноярскэнергосбыт""";ап;2-01-55147-E;168 993 328;13,76;2 325 348 193,28;;;;
